group,n,mean_predicted_risk,observed_risk_km
"(0.008629999999999999, 0.0386]",81,0.026002751941588468,0.05381355932203413
"(0.0386, 0.0654]",80,0.05074875264086161,0.024390243902439268
"(0.0654, 0.131]",80,0.09292290216077019,0.05121293800539095
"(0.131, 0.227]",80,0.17406517302320346,0.15288220551378418
"(0.227, 0.795]",80,0.3310997036891584,0.3961406809144068
