model,covariate,HR,HR_lower95,HR_upper95,p_value
Model 0,entry_age,1.0468379407394173,1.0142499518503154,1.0804729861434335,0.0045556693636232305
Model 0,APOE4_COUNT,1.5468360853718464,1.1269806353953788,2.1231082414908276,0.006937157435341723
Model 1,entry_age,1.0162557909988135,0.9826074988767117,1.0510563311589454,0.3479156513302497
Model 1,APOE4_COUNT,1.0511528150941964,0.7526872904470481,1.4679698391402367,0.7697104024600088
Model 1,log_ptau217,2.976781811198342,2.29221362345032,3.8657958668542634,2.804762701469749e-16
