model,n,events,log_likelihood,concordance_apparent,AIC
Model 0 (age + APOE4),401,85,-398.68777354304564,0.6086067155538402,801.3755470860913
Model 1 (+ log ptau217),401,85,-367.81858447028856,0.7783095329988421,741.6371689405771
