group,n,mean_predicted_risk,observed_risk_km
"(0.0384, 0.151]",81,0.10327707518926518,0.09682203389830546
"(0.151, 0.245]",80,0.19414346098150168,0.1576005860169839
"(0.245, 0.443]",80,0.3308529495280069,0.2598004230775799
"(0.443, 0.657]",80,0.5451602353480898,0.5914670215912448
"(0.657, 0.999]",80,0.7877337436229987,0.8410896528722123
