model,n,events,log_likelihood,concordance_apparent,AIC
Model 0s (age + APOE4_CARRIER),401,85,-397.98397429656734,0.6183712852180625,799.9679485931347
Model 1s (+ log ptau217),401,85,-367.7627821395322,0.7781551524507913,741.5255642790644
