model,covariate,HR,HR_lower95,HR_upper95,p_value
Model 0s,entry_age,1.0454688785911146,1.0127362072174968,1.079259503425483,0.006148516744021912
Model 0s,APOE4_CARRIER,1.8885436260713029,1.2224104740234925,2.9176754481130223,0.00417204578788289
Model 1s,entry_age,1.0165183840446816,0.9829751612696382,1.0512062418404948,0.3385831435266002
Model 1s,APOE4_CARRIER,1.1056330767900147,0.7088080686211473,1.7246199000953126,0.6579884792572275
Model 1s,log_ptau217,2.9641387574588984,2.2789432115551205,3.8553477457976904,5.430066386709288e-16
