model_id	model_label	required_variables	timing_rule	complete_case_n	event_n	censored_n	pct_of_survival_410	n_lost_total	n_lost_by_variable	median_followup_days	q1_followup_days	q3_followup_days	n_fu_le_30	n_fu_le_90	n_fu_le_180	n_fu_le_365	notes
M7_MOCA	age + APOE4 + MOCA	entry_age|APOE4_COUNT|MOCA__same_day_only	same_day_only	179	17	162	43.7	231	entry_age=0|APOE4_COUNT=9|MOCA__same_day_only=225	381.0	67.0	841.0	36	47	47	67	
M8_MOCA	age + APOE4 + p-tau217 + MOCA	entry_age|APOE4_COUNT|ptau217|MOCA__same_day_only	same_day_only	179	17	162	43.7	231	entry_age=0|APOE4_COUNT=9|ptau217=0|MOCA__same_day_only=225	381.0	67.0	841.0	36	47	47	67	
M7_FAQTOTAL	age + APOE4 + FAQTOTAL	entry_age|APOE4_COUNT|FAQTOTAL__nearest_pm90	nearest_pm90	370	81	289	90.2	40	entry_age=0|APOE4_COUNT=9|FAQTOTAL__nearest_pm90=31	455.0	345.5	1190.0	57	74	78	118	
M8_FAQTOTAL	age + APOE4 + p-tau217 + FAQTOTAL	entry_age|APOE4_COUNT|ptau217|FAQTOTAL__nearest_pm90	nearest_pm90	370	81	289	90.2	40	entry_age=0|APOE4_COUNT=9|ptau217=0|FAQTOTAL__nearest_pm90=31	455.0	345.5	1190.0	57	74	78	118	
M7_FAQTOTAL	age + APOE4 + FAQTOTAL	entry_age|APOE4_COUNT|FAQTOTAL__on_or_before_pm90	on_or_before_pm90	320	75	245	78.0	90	entry_age=0|APOE4_COUNT=9|FAQTOTAL__on_or_before_pm90=82	538.0	352.0	1241.5	45	58	61	96	
M8_FAQTOTAL	age + APOE4 + p-tau217 + FAQTOTAL	entry_age|APOE4_COUNT|ptau217|FAQTOTAL__on_or_before_pm90	on_or_before_pm90	320	75	245	78.0	90	entry_age=0|APOE4_COUNT=9|ptau217=0|FAQTOTAL__on_or_before_pm90=82	538.0	352.0	1241.5	45	58	61	96	
M7_FAQTOTAL	age + APOE4 + FAQTOTAL	entry_age|APOE4_COUNT|FAQTOTAL__within_pm30	within_pm30	350	81	269	85.4	60	entry_age=0|APOE4_COUNT=9|FAQTOTAL__within_pm30=52	439.5	345.5	1190.0	57	72	75	112	
M8_FAQTOTAL	age + APOE4 + p-tau217 + FAQTOTAL	entry_age|APOE4_COUNT|ptau217|FAQTOTAL__within_pm30	within_pm30	350	81	269	85.4	60	entry_age=0|APOE4_COUNT=9|ptau217=0|FAQTOTAL__within_pm30=52	439.5	345.5	1190.0	57	72	75	112	
M7_FAQTOTAL	age + APOE4 + FAQTOTAL	entry_age|APOE4_COUNT|FAQTOTAL__same_day_only	same_day_only	211	51	160	51.5	199	entry_age=0|APOE4_COUNT=9|FAQTOTAL__same_day_only=194	431.0	357.0	1104.0	33	41	41	61	
M8_FAQTOTAL	age + APOE4 + p-tau217 + FAQTOTAL	entry_age|APOE4_COUNT|ptau217|FAQTOTAL__same_day_only	same_day_only	211	51	160	51.5	199	entry_age=0|APOE4_COUNT=9|ptau217=0|FAQTOTAL__same_day_only=194	431.0	357.0	1104.0	33	41	41	61	
M9_mem_exec	age + APOE4 + p-tau217 + CDMEMORY + CDJUDGE	entry_age|APOE4_COUNT|ptau217|CDMEMORY__nearest_pm90|CDJUDGE__nearest_pm90	nearest_pm90	314	50	264	76.6	96	entry_age=0|APOE4_COUNT=9|ptau217=0|CDMEMORY__nearest_pm90=89|CDJUDGE__nearest_pm90=89	393.5	193.5	1100.0	52	67	78	114	TIER-2 candidates, NOT in the frozen pipeline; CDJUDGE is an executive PROXY, not a validated executive composite
M9_mem_exec	age + APOE4 + p-tau217 + CDMEMORY + CDJUDGE	entry_age|APOE4_COUNT|ptau217|CDMEMORY__on_or_before_pm90|CDJUDGE__on_or_before_pm90	on_or_before_pm90	299	50	249	72.9	111	entry_age=0|APOE4_COUNT=9|ptau217=0|CDMEMORY__on_or_before_pm90=104|CDJUDGE__on_or_before_pm90=104	404.0	336.0	1103.0	49	64	67	103	TIER-2 candidates, NOT in the frozen pipeline; CDJUDGE is an executive PROXY, not a validated executive composite
M9_mem_exec	age + APOE4 + p-tau217 + CDMEMORY + CDJUDGE	entry_age|APOE4_COUNT|ptau217|CDMEMORY__within_pm30|CDJUDGE__within_pm30	within_pm30	178	26	152	43.4	232	entry_age=0|APOE4_COUNT=9|ptau217=0|CDMEMORY__within_pm30=230|CDJUDGE__within_pm30=230	387.0	232.2	1076.5	35	41	43	64	TIER-2 candidates, NOT in the frozen pipeline; CDJUDGE is an executive PROXY, not a validated executive composite
M9_mem_exec	age + APOE4 + p-tau217 + CDMEMORY + CDJUDGE	entry_age|APOE4_COUNT|ptau217|CDMEMORY__same_day_only|CDJUDGE__same_day_only	same_day_only	75	3	72	18.3	335	entry_age=0|APOE4_COUNT=9|ptau217=0|CDMEMORY__same_day_only=335|CDJUDGE__same_day_only=335	377.0	35.5	523.0	18	23	23	29	TIER-2 candidates, NOT in the frozen pipeline; CDJUDGE is an executive PROXY, not a validated executive composite
