t_days,n_risk,n_event,survival,se,t_months
0.0,410,0,1.0,0.0,0.0
167.0,314,1,0.9968152866242038,0.003179638132131765,5.486652977412731
174.0,313,1,0.9936305732484076,0.00448949841666921,5.716632443531828
182.0,312,1,0.9904458598726115,0.005489671406004815,5.979466119096509
188.0,310,1,0.9872508732278612,0.006333828824808246,6.176591375770021
204.0,309,1,0.9840558865831108,0.007073404592773783,6.702258726899384
219.0,308,1,0.9808608999383605,0.00773844215583545,7.195071868583162
260.0,307,1,0.9776659132936101,0.008346777281105904,8.542094455852157
345.0,295,1,0.9743517915536318,0.008952280852647801,11.3347022587269
348.0,292,1,0.971014970349681,0.009523213207563937,11.433264887063656
349.0,291,1,0.9676781491457302,0.010058104402318337,11.46611909650924
358.0,283,1,0.9642587917282541,0.010587845281113022,11.761806981519507
359.0,278,1,0.9607902349234763,0.01110337945799197,11.794661190965092
364.0,276,3,0.9503468628047428,0.012513153318614313,11.958932238193018
366.0,267,2,0.9432281597125725,0.013393662979958611,12.02464065708419
373.0,250,2,0.9356823344348719,0.014309906614300524,12.254620123203285
376.0,246,1,0.9318787477095269,0.014748574453692825,12.353182751540041
391.0,221,1,0.9276621017922893,0.015272722123207854,12.845995893223819
413.0,209,1,0.9232235271425654,0.015831485964454724,13.568788501026694
417.0,207,1,0.9187635101032293,0.016371189643282758,13.700205338809035
436.0,199,1,0.9141466080424091,0.016927423364157833,14.324435318275153
501.0,191,1,0.9093605001468992,0.017502343259340067,16.459958932238195
538.0,186,1,0.9044714651998729,0.0180781950207534,17.675564681724847
541.0,184,1,0.8995558594107431,0.01863626152096486,17.7741273100616
547.0,182,1,0.8946132447985962,0.019178095423319986,17.971252566735114
558.0,180,1,0.8896431712163818,0.01970503581945649,18.33264887063655
720.0,172,1,0.8844708271976819,0.020257941180991505,23.655030800821354
723.0,166,1,0.8791426896844429,0.020824810128674952,23.753593429158112
725.0,165,1,0.8738145521712037,0.021369347243824263,23.81930184804928
729.0,163,1,0.8684537266977608,0.0219003487170285,23.95071868583162
730.0,162,1,0.8630929012243178,0.022411677799404853,23.983572895277206
734.0,161,3,0.8470104248039889,0.02384004863028644,24.11498973305955
738.0,157,1,0.8416154539453647,0.024290969501840336,24.246406570841888
750.0,150,1,0.8360046842523956,0.024768547383387626,24.640657084188913
751.0,149,1,0.8303939145594265,0.025229811443378415,24.673511293634498
754.0,144,1,0.8246272901527638,0.02570517903859399,24.772073921971252
756.0,142,1,0.8188200557150683,0.026171913414953053,24.83778234086242
758.0,140,1,0.8129713410313892,0.026630468479887193,24.903490759753595
759.0,139,1,0.8071226263477103,0.027073527067388806,24.93634496919918
766.0,137,1,0.8012312203159752,0.02750945037290751,25.166324435318277
768.0,136,1,0.79533981428424,0.02793090154070667,25.232032854209447
782.0,135,1,0.789448408252505,0.028338526267966044,25.691991786447637
836.0,131,1,0.7834220845253865,0.02875582683490875,27.46611909650924
846.0,130,1,0.7773957607982682,0.029159256231946033,27.794661190965094
1022.0,124,1,0.7711264401466693,0.02959038738826473,33.57700205338809
1037.0,122,1,0.764805731620877,0.030015325891098756,34.06981519507187
1064.0,121,1,0.7584850230950846,0.030425503545241674,34.95687885010267
1082.0,118,1,0.7520571839163127,0.03083917474769663,35.5482546201232
1084.0,117,2,0.7392015055587688,0.03162340263022889,35.61396303901437
1088.0,114,1,0.7327172818257972,0.032003879916078004,35.74537987679671
1097.0,112,1,0.7261751632380669,0.032379885921008336,36.04106776180698
1100.0,109,1,0.7195130057771671,0.03276102351389203,36.139630390143736
1101.0,107,1,0.7127885851624273,0.03313777673605988,36.172484599589325
1103.0,106,1,0.7060641645476874,0.03350047953216977,36.238193018480494
1121.0,101,1,0.699073430245235,0.03389034137247648,36.82956878850103
1146.0,98,1,0.6919400278957939,0.03428704007153983,37.65092402464066
1193.0,95,1,0.6846564486547855,0.03469112249764215,39.19507186858316
1217.0,93,1,0.6772945513574222,0.03509055040843332,39.983572895277206
1268.0,90,1,0.6697690563423397,0.035498440871262985,41.659137577002056
1286.0,87,1,0.6620705614418531,0.03591549341746523,42.25051334702259
1323.0,85,1,0.6542814960131254,0.03632775609363829,43.46611909650924
1351.0,83,1,0.6463985864226057,0.036735389944577534,44.38603696098563
1357.0,82,1,0.6385156768320861,0.03712354595730268,44.58316221765914
1448.0,76,1,0.630114154768506,0.037573737818243996,47.572895277207394
1452.0,74,1,0.6215990986229857,0.03801859522131594,47.70431211498973
1461.0,73,1,0.6130840424774653,0.03843952902553162,48.0
1488.0,69,2,0.5953134905215968,0.03932557113177073,48.8870636550308
1490.0,67,1,0.5864282145436625,0.039729720075904,48.95277207392197
1500.0,66,1,0.5775429385657281,0.040109015533262384,49.281314168377826
1533.0,63,1,0.5683755903345261,0.0405064668870017,50.365503080082135
1818.0,55,1,0.5580414886920801,0.041067063617549304,59.728952772073924
2093.0,41,1,0.5444307206752002,0.04226077560086395,68.76386036960986
2186.0,37,1,0.5297163768731677,0.043605032822321484,71.81930184804928
2393.0,28,1,0.5107979348419832,0.04596884787409553,78.62012320328542
2434.0,23,1,0.4885893289792883,0.049042394145941935,79.96714579055441
2477.0,19,1,0.46287410113827315,0.052774175978150976,81.37987679671458
2927.0,6,1,0.38572841761522764,0.08302803004632736,96.16427104722793
2996.0,4,1,0.28929631321142074,0.10417314105532588,98.43121149897331
3694.0,1,1,0.0,0.0,121.36344969199179
